kladr_id,address
4301800100000,"Кировская обл, г Малмыж"
4301900100000,"Кировская обл, г Мураши"
4302200100000,"Кировская обл, г Нолинск"
4302300100000,"Кировская обл, г Омутнинск"
4302600100000,"Кировская обл, г Орлов"
4303100100000,"Кировская обл, г Слободской"
4303200100000,"Кировская обл, г Советск"
4300800200000,"Кировская обл, Вятскополянский р-н, г Сосновка"
4303600100000,"Кировская обл, г Уржум"
4304000100000,"Кировская обл, г Яранск"
1100000200000,"Респ Коми, г Воркута"
1100000300000,"Респ Коми, г Вуктыл"
1100600100000,"Респ Коми, г Емва"
1100000400000,"Респ Коми, г Инта"
1101700200000,"Респ Коми, Усть-Вымский р-н, г Микунь"
1100000500000,"Респ Коми, г Печора"
1100000600000,"Респ Коми, г Сосногорск"
1100000100000,г Сыктывкар
1100000700000,"Респ Коми, г Усинск"
1100000800000,"Респ Коми, г Ухта"
4400300100000,"Костромская обл, г Буй"
4400000200000,"Костромская обл, г Волгореченск"
4400500100000,"Костромская обл, г Галич"
4400700100000,"Костромская обл, г Кологрив"
4400000300000,г Кострома
4400900100000,"Костромская обл, г Макарьев"
4401000100000,"Костромская обл, г Мантурово"
4401300100000,"Костромская обл, г Нерехта"
4401200100000,"Костромская обл, г Нея"
4402000100000,"Костромская обл, г Солигалич"
4402300100000,"Костромская обл, г Чухлома"
4402400100000,"Костромская обл, г Шарья"
2300200100000,"Краснодарский край, г Абинск"
2300300100000,"Краснодарский край, г Анапа"
2300400100000,"Краснодарский край, г Апшеронск"
2300000200000,"Краснодарский край, г Армавир"
2300600100000,"Краснодарский край, г Белореченск"
2300000300000,"Краснодарский край, г Геленджик"
2300000400000,"Краснодарский край, г Горячий Ключ"
2300900100000,"Краснодарский край, г Гулькевичи"
2301100100000,"Краснодарский край, г Ейск"
2301500100000,"Краснодарский край, г Кореновск"
2300000100000,г Краснодар
2301200100000,"Краснодарский край, Кавказский р-н, г Кропоткин"
2301800100000,"Краснодарский край, г Крымск"
2301900100000,"Краснодарский край, г Курганинск"
2302100100000,"Краснодарский край, г Лабинск"
2302400100000,"Краснодарский край, г Новокубанск"
2300000600000,"Краснодарский край, г Новороссийск"
2302800100000,"Краснодарский край, г Приморско-Ахтарск"
2303000100000,"Краснодарский край, г Славянск-на-Кубани"
2300000700000,"Краснодарский край, г Сочи"
2303300100000,"Краснодарский край, г Темрюк"
2303400100000,"Краснодарский край, г Тимашевск"
2303500100000,"Краснодарский край, г Тихорецк"
2303600100000,"Краснодарский край, г Туапсе"
2303800100000,"Краснодарский край, г Усть-Лабинск"
2300400200000,"Краснодарский край, Апшеронский р-н, г Хадыженск"
2402400200000,"Красноярский край, Курагинский р-н, г Артемовск"
2400001200000,"Красноярский край, г Ачинск"
2400001300000,"Красноярский край, г Боготол"
2400000200000,"Красноярский край, г Бородино"
2400000300000,"Красноярский край, г Дивногорск"
2404800100000,"Красноярский край, г Дудинка"
2400001400000,"Красноярский край, г Енисейск"
2400000400000,"Красноярский край, г Железногорск"
2403301500000,"Красноярский край, Рыбинский р-н, г Заозерный"
2400000500000,"Красноярский край, г Зеленогорск"
2403801700000,"Красноярский край, Туруханский р-н, г Игарка"
2401600100000,"Красноярский край, г Иланский"
2400001600000,"Красноярский край, г Канск"
2402100100000,"Красноярский край, г Кодинск"
2400000100000,г Красноярск
2400000800000,"Красноярский край, г Лесосибирск"
2400001700000,"Красноярский край, г Минусинск"
2400001800000,"Красноярский край, г Назарово"
2400000900000,"Красноярский край, г Норильск"
2400001000000,"Красноярский край, г Сосновоборск"
2404000100000,"Красноярский край, г Ужур"
2404100100000,"Красноярский край, г Уяр"
2400001900000,"Красноярский край, г Шарыпово"
9100000800100,"Респ Крым, г Ялта, г Алупка"
9100001100000,"Респ Крым, г Алушта"
9100000200000,"Респ Крым, г Армянск"
9100100100000,"Респ Крым, Бахчисарайский р-н, г Бахчисарай"
9100200100000,"Респ Крым, Белогорский р-н, г Белогорск"
9100000600000,"Респ Крым, г Джанкой"
9100000900000,"Респ Крым, г Евпатория"
9100000100000,"Респ Крым, г Керчь"
9100000400000,"Респ Крым, г Красноперекопск"
9100000300000,"Респ Крым, г Саки"
9100000700000,"Респ Крым, г Симферополь"
9100400100000,"Респ Крым, Кировский р-н, г Старый Крым"
9100000500000,"Респ Крым, г Судак"
9100001000000,"Респ Крым, г Феодосия"
9100700100000,"Респ Крым, Ленинский р-н, г Щелкино"
9100000800000,"Респ Крым, г Ялта"
4500500100000,"Курганская обл, г Далматово"
4500800100000,"Курганская обл, г Катайск"
4500000100000,г Курган
4501000100000,"Курганская обл, г Куртамыш"
4501200100000,"Курганская обл, г Макушино"
4501500100000,"Курганская обл, г Петухово"
4500000200000,"Курганская обл, г Шадринск"
4502300100000,"Курганская обл, г Шумиха"
4502400100000,"Курганская обл, г Щучье"
4600600100000,"Курская обл, Дмитриевский р-н, г Дмитриев"
4600000300000,"Курская обл, г Железногорск"
4600000100000,г Курск
4600000200000,"Курская обл, г Курчатов"
4600000400000,"Курская обл, г Льгов"
4601600100000,"Курская обл, г Обоянь"
4602000100000,"Курская обл, г Рыльск"
4602300100000,"Курская обл, г Суджа"
4602500100000,"Курская обл, г Фатеж"
4600000500000,"Курская обл, г Щигры"
4700200100000,"Ленинградская обл, г Бокситогорск"
4700300100000,"Ленинградская обл, г Волосово"
4700400100000,"Ленинградская обл, г Волхов"
4700500100000,"Ленинградская обл, г Всеволожск"
4700600100000,"Ленинградская обл, г Выборг"
4700600200000,"Ленинградская обл, Выборгский р-н, г Высоцк"
4700700100000,"Ленинградская обл, г Гатчина"
4700801100000,"Ленинградская обл, Кингисеппский р-н, г Ивангород"
4700600300000,"Ленинградская обл, Выборгский р-н, г Каменногорск"
4700800100000,"Ленинградская обл, г Кингисепп"
4700900100000,"Ленинградская обл, г Кириши"
4701000100000,"Ленинградская обл, г Кировск"
4700700200000,"Ленинградская обл, Гатчинский р-н, г Коммунар"
4700511600000,"Ленинградская обл, Всеволожский р-н, г Кудрово"
4701100100000,"Ленинградская обл, г Лодейное Поле"
4701300100000,"Ленинградская обл, г Луга"
4701800400000,"Ленинградская обл, Тосненский р-н, г Любань"
4700511700000,"Ленинградская обл, Всеволожский р-н, г Мурино"
4701800300000,"Ленинградская обл, Тосненский р-н, г Никольское"
4700400200000,"Ленинградская обл, Волховский р-н, г Новая Ладога"
4701000200000,"Ленинградская обл, Кировский р-н, г Отрадное"
4700200200000,"Ленинградская обл, Бокситогорский р-н, г Пикалево"
4701400100000,"Ленинградская обл, г Подпорожье"
4700600400000,"Ленинградская обл, Выборгский р-н, г Приморск"
4701500100000,"Ленинградская обл, г Приозерск"
4700600500000,"Ленинградская обл, Выборгский р-н, г Светогорск"
4700500200000,"Ленинградская обл, Всеволожский р-н, г Сертолово"
4701600100000,"Ленинградская обл, г Сланцы"
4700000400000,"Ленинградская обл, г Сосновый Бор"
4700400300000,"Ленинградская обл, Волховский р-н, г Сясьстрой"
4701700100000,"Ленинградская обл, г Тихвин"
4701800100000,"Ленинградская обл, г Тосно"
4701000300000,"Ленинградская обл, Кировский р-н, г Шлиссельбург"
4800300100000,"Липецкая обл, г Грязи"
4800400100000,"Липецкая обл, г Данков"
4800000200000,"Липецкая обл, г Елец"
4800900100000,"Липецкая обл, г Задонск"
4801200100000,"Липецкая обл, г Лебедянь"
4800000100000,г Липецк
4801600100000,"Липецкая обл, г Усмань"
4801800100000,"Липецкая обл, г Чаплыгин"
4900000100000,г Магадан
4900600100000,"Магаданская обл, г Сусуман"
1200000200000,"Респ Марий Эл, г Волжск"
1200400100000,"Респ Марий Эл, г Звенигово"
1200000100000,г Йошкар-Ола
1200000300000,"Респ Марий Эл, г Козьмодемьянск"
1300200100000,"Респ Мордовия, г Ардатов"
1301000100000,"Респ Мордовия, г Инсар"
1300000200000,"Респ Мордовия, г Ковылкино"
1301500100000,"Респ Мордовия, г Краснослободск"
1300000300000,"Респ Мордовия, г Рузаевка"
1300000100000,г Саранск
1302000100000,"Респ Мордовия, г Темников"
7700000000000,г Москва
5004800300000,"Московская обл, г Наро-Фоминск, г Апрелевка"
5000003600000,"Московская обл, г Балашиха"
5004400200000,"Московская обл, г Воскресенск, г Белоозёрский"
5000000200000,"Московская обл, г Бронницы"
5004800200000,"Московская обл, г Наро-Фоминск, г Верея"
5000002500000,"Московская обл, г Видное"
5000006600000,"Московская обл, г Волоколамск"
5004400000000,"Московская обл, г Воскресенск"
5004700200000,"Московская обл, г Клин, г Высоковск"
5004200200000,"Московская обл, г Одинцово, г Голицыно"
5004600200000,"Московская обл, г Истра, г Дедовск"
5000002300000,"Московская обл, г Дзержинский"
5004500000000,"Московская обл, г Дмитров"
5000002900000,"Московская обл, г Долгопрудный"
5000000100000,"Московская обл, г Домодедово"
5000100100000,"Московская обл, г Орехово-Зуево, г Дрезна"
5000000300000,"Московская обл, г Дубна"
5000003900000,"Московская обл, г Егорьевск"
5000000500000,"Московская обл, г Жуковский"
5000004600000,"Московская обл, г Зарайск"
5004200400000,"Московская обл, г Одинцово, г Звенигород"
5000000700000,"Московская обл, г Ивантеевка"
5004600000000,"Московская обл, г Истра"
5000003800000,"Московская обл, г Кашира"
5004700000000,"Московская обл, г Клин"
5000002700000,"Московская обл, г Коломна"
5000000900000,"Московская обл, г Королёв"
5000003200000,"Московская обл, г Котельники"
5000001000000,"Московская обл, г Красноармейск"
5000004900000,"Московская обл, г Красногорск"
5004100300000,"Московская обл, г Сергиев Посад, г Краснозаводск"
5000001100000,"Московская обл, г Краснознаменск"
5004200300000,"Московская обл, г Одинцово, г Кубинка"
5000100200000,"Московская обл, г Орехово-Зуево, г Куровское"
5000100300000,"Московская обл, г Орехово-Зуево, г Ликино-Дулёво"
5000001200000,"Московская обл, г Лобня"
5000003100000,"Московская обл, г Лосино-Петровский"
5000004800000,"Московская обл, г Луховицы"
5000001300000,"Московская обл, г Лыткарино"
5000005000000,"Московская обл, г Люберцы"
5000005600000,"Московская обл, г Можайск"
5000004400000,"Московская обл, г Мытищи"
5004800000000,"Московская обл, г Наро-Фоминск"
5004300000000,"Московская обл, г Ногинск"
5004200000000,"Московская обл, г Одинцово"
5000004000000,"Московская обл, г Озёры"
5000100000000,"Московская обл, г Орехово-Зуево"
5000004700000,"Московская обл, г Павловский Посад"
5004100200000,"Московская обл, г Сергиев Посад, г Пересвет"
5000002400000,"Московская обл, г Подольск"
5000001400000,"Московская обл, г Протвино"
5000006700000,"Московская обл, г Пушкино"
5000001500000,"Московская обл, г Пущино"
5000006300000,"Московская обл, г Раменское"
5000001600000,"Московская обл, г Реутов"
5004900200000,"Московская обл, г Шатура, г Рошаль"
5000004500000,"Московская обл, г Руза"
5004100000000,"Московская обл, г Сергиев Посад"
5000002800000,"Московская обл, г Серпухов"
5000006500000,"Московская обл, г Солнечногорск"
5004300300000,"Московская обл, г Ногинск, г Старая Купавна"
5000005400000,"Московская обл, г Ступино"
5000005900000,"Московская обл, г Талдом"
5000001900000,"Московская обл, г Фрязино"
5000003000000,"Московская обл, г Химки"
5004100100000,"Московская обл, г Сергиев Посад, г Хотьково"
5000003500000,"Московская обл, г Черноголовка"
5000005300000,"Московская обл, г Чехов"
5004900000000,"Московская обл, г Шатура"
5000006200000,"Московская обл, г Щёлково"
5000003300000,"Московская обл, г Электрогорск"
5000002100000,"Московская обл, г Электросталь"
5004300200000,"Московская обл, г Ногинск, г Электроугли"
5004500200000,"Московская обл, г Дмитров, г Яхрома"
5100000200000,"Мурманская обл, г Апатиты"
5100001200000,"Мурманская обл, г Гаджиево"
5100000300000,"Мурманская обл, г Заозерск"
5100500200000,"Мурманская обл, Печенгский р-н, г Заполярный"
5100100100000,"Мурманская обл, г Кандалакша"
5100000500000,"Мурманская обл, г Кировск"
5100200100000,"Мурманская обл, г Ковдор"
